,file,date,time,location,zip code,subspecies,health,pollen_carrying,caste,width,height,color,date_time,year,month,day,hour,minute
0,041_066.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,115,164,3,2018-08-28 16:07:00,2018,8,28,16,7
1,041_072.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,201,90,3,2018-08-28 16:07:00,2018,8,28,16,7
2,041_073.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,132,167,3,2018-08-28 16:07:00,2018,8,28,16,7
3,041_067.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,134,97,3,2018-08-28 16:07:00,2018,8,28,16,7
4,041_059.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,147,106,3,2018-08-28 16:07:00,2018,8,28,16,7
5,041_071.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,194,135,3,2018-08-28 16:07:00,2018,8,28,16,7
6,041_065.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,159,170,3,2018-08-28 16:07:00,2018,8,28,16,7
7,041_064.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,132,95,3,2018-08-28 16:07:00,2018,8,28,16,7
8,041_070.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,126,190,3,2018-08-28 16:07:00,2018,8,28,16,7
9,041_058.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,156,189,3,2018-08-28 16:07:00,2018,8,28,16,7
10,041_074.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,132,142,3,2018-08-28 16:07:00,2018,8,28,16,7
11,041_060.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,69,119,3,2018-08-28 16:07:00,2018,8,28,16,7
12,041_048.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,105,104,3,2018-08-28 16:07:00,2018,8,28,16,7
13,041_049.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,108,99,3,2018-08-28 16:07:00,2018,8,28,16,7
14,041_061.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,220,159,3,2018-08-28 16:07:00,2018,8,28,16,7
15,041_075.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,130,137,3,2018-08-28 16:07:00,2018,8,28,16,7
16,041_063.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,183,161,3,2018-08-28 16:07:00,2018,8,28,16,7
17,041_076.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,182,144,3,2018-08-28 16:07:00,2018,8,28,16,7
18,041_062.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,186,225,3,2018-08-28 16:07:00,2018,8,28,16,7
19,041_039.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,150,153,3,2018-08-28 16:07:00,2018,8,28,16,7
20,041_005.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,101,140,3,2018-08-28 16:07:00,2018,8,28,16,7
21,041_011.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,136,127,3,2018-08-28 16:07:00,2018,8,28,16,7
22,041_010.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,95,115,3,2018-08-28 16:07:00,2018,8,28,16,7
23,041_004.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,78,103,3,2018-08-28 16:07:00,2018,8,28,16,7
24,041_038.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,180,113,3,2018-08-28 16:07:00,2018,8,28,16,7
25,041_012.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,118,126,3,2018-08-28 16:07:00,2018,8,28,16,7
26,041_006.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,238,167,3,2018-08-28 16:07:00,2018,8,28,16,7
27,041_007.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,133,136,3,2018-08-28 16:07:00,2018,8,28,16,7
28,041_017.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,159,118,3,2018-08-28 16:07:00,2018,8,28,16,7
29,041_003.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,146,95,3,2018-08-28 16:07:00,2018,8,28,16,7
30,041_002.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,145,182,3,2018-08-28 16:07:00,2018,8,28,16,7
31,041_016.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,89,99,3,2018-08-28 16:07:00,2018,8,28,16,7
32,041_000.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,126,176,3,2018-08-28 16:07:00,2018,8,28,16,7
33,041_014.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,172,127,3,2018-08-28 16:07:00,2018,8,28,16,7
34,041_028.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,210,163,3,2018-08-28 16:07:00,2018,8,28,16,7
35,041_029.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,96,111,3,2018-08-28 16:07:00,2018,8,28,16,7
36,041_015.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,127,162,3,2018-08-28 16:07:00,2018,8,28,16,7
37,041_001.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,168,146,3,2018-08-28 16:07:00,2018,8,28,16,7
38,041_018.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,143,141,3,2018-08-28 16:07:00,2018,8,28,16,7
39,041_024.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,129,155,3,2018-08-28 16:07:00,2018,8,28,16,7
40,041_030.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,86,139,3,2018-08-28 16:07:00,2018,8,28,16,7
41,041_031.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,222,168,3,2018-08-28 16:07:00,2018,8,28,16,7
42,041_025.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,94,132,3,2018-08-28 16:07:00,2018,8,28,16,7
43,041_019.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,112,101,3,2018-08-28 16:07:00,2018,8,28,16,7
44,041_033.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,113,191,3,2018-08-28 16:07:00,2018,8,28,16,7
45,041_027.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,119,83,3,2018-08-28 16:07:00,2018,8,28,16,7
46,041_026.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,140,172,3,2018-08-28 16:07:00,2018,8,28,16,7
47,041_032.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,193,169,3,2018-08-28 16:07:00,2018,8,28,16,7
48,041_036.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,122,134,3,2018-08-28 16:07:00,2018,8,28,16,7
49,041_022.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,155,138,3,2018-08-28 16:07:00,2018,8,28,16,7
50,041_023.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,85,151,3,2018-08-28 16:07:00,2018,8,28,16,7
51,041_037.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,116,126,3,2018-08-28 16:07:00,2018,8,28,16,7
52,041_021.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,152,139,3,2018-08-28 16:07:00,2018,8,28,16,7
53,041_035.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,100,103,3,2018-08-28 16:07:00,2018,8,28,16,7
54,041_008.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,81,115,3,2018-08-28 16:07:00,2018,8,28,16,7
55,041_034.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,113,87,3,2018-08-28 16:07:00,2018,8,28,16,7
56,041_020.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,115,145,3,2018-08-28 16:07:00,2018,8,28,16,7
57,041_047.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,83,123,3,2018-08-28 16:07:00,2018,8,28,16,7
58,041_053.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,147,108,3,2018-08-28 16:07:00,2018,8,28,16,7
59,041_052.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,85,153,3,2018-08-28 16:07:00,2018,8,28,16,7
60,041_046.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,107,127,3,2018-08-28 16:07:00,2018,8,28,16,7
61,041_050.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,154,159,3,2018-08-28 16:07:00,2018,8,28,16,7
62,041_044.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,118,139,3,2018-08-28 16:07:00,2018,8,28,16,7
63,041_045.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,188,161,3,2018-08-28 16:07:00,2018,8,28,16,7
64,041_051.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,103,112,3,2018-08-28 16:07:00,2018,8,28,16,7
65,041_055.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,70,143,3,2018-08-28 16:07:00,2018,8,28,16,7
66,041_041.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,93,91,3,2018-08-28 16:07:00,2018,8,28,16,7
67,041_069.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,104,114,3,2018-08-28 16:07:00,2018,8,28,16,7
68,041_068.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,107,149,3,2018-08-28 16:07:00,2018,8,28,16,7
69,041_040.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,97,95,3,2018-08-28 16:07:00,2018,8,28,16,7
70,041_042.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,133,112,3,2018-08-28 16:07:00,2018,8,28,16,7
71,041_056.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,157,263,3,2018-08-28 16:07:00,2018,8,28,16,7
72,041_057.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,198,103,3,2018-08-28 16:07:00,2018,8,28,16,7
73,041_043.png,8/28/18,16:07,"Alvin, TX, USA",77511,Unknown,hive being robbed,False,worker,164,103,3,2018-08-28 16:07:00,2018,8,28,16,7
74,017_029.png,8/6/18,13:21,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker,78,75,3,2018-08-06 13:21:00,2018,8,6,13,21
75,017_015.png,8/6/18,13:21,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker,100,82,3,2018-08-06 13:21:00,2018,8,6,13,21
